NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-29;Altres;N/A;--;4;73;3;0;0;58;15;0;0;4;0;0;71;3;83;96
CATALUNYA;GLOBAL;2021-09-29;Dona;0 a 9;No;17;70;338;0;0;2;0;0;1;16;1;12;63;314;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;10 a 19;No;8;85;556;0;0;1;0;0;2;6;2;5;80;466;537;2093
CATALUNYA;GLOBAL;2021-09-29;Dona;10 a 19;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;20 a 29;No;9;197;387;0;0;4;0;0;1;8;1;5;139;313;563;756
CATALUNYA;GLOBAL;2021-09-29;Dona;20 a 29;Si;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0
CATALUNYA;GLOBAL;2021-09-29;Dona;30 a 39;No;13;230;391;0;0;6;2;0;1;12;0;4;176;343;424;783
CATALUNYA;GLOBAL;2021-09-29;Dona;30 a 39;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;40 a 49;No;16;271;420;0;0;16;7;0;2;14;2;8;211;368;201;356
CATALUNYA;GLOBAL;2021-09-29;Dona;40 a 49;Si;0;2;2;0;0;1;0;0;0;0;0;0;2;2;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;50 a 59;No;8;246;265;1;1;18;6;0;0;8;1;5;198;238;80;134
CATALUNYA;GLOBAL;2021-09-29;Dona;50 a 59;Si;0;1;2;0;0;0;0;0;0;0;0;0;1;2;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;60 a 69;No;13;133;201;0;0;35;12;0;1;12;1;7;120;180;50;106
CATALUNYA;GLOBAL;2021-09-29;Dona;60 a 69;Si;0;2;4;0;0;0;0;0;0;0;0;0;1;4;0;1
